question,exp,cop,opa,opb,opc,opd,subject_name,topic_name,id,choice_type
Treatment of choice for acute depression is?,"Ans. is 'a' i.e., SSRIs Treatment modalities for depression1) Drugs: - The treatment of major depression usually requires starting pharmacotherapy with antidepressants.Antidepressants are: -A. Tricyclic antidepressants (TCAs):- Imipramine, Amitriptyline, Trimipramine, Clomipramine, Desipramine, Nortriptyline, Amoxapine, Reboxetine.B. SSRI (selective serotonin reuptake inhibitors): - Fluoxetine, Paroxetine, sertaline, Citalopram, Escitalopram. These drugs devoid of side effects seen with TCAs and are safe in elderly.C. Atypical antidepressants Trazodone, Mianserine, Mitrazapine, Venlafaxine, Duloxetine, Tianeptine, Amineptine, Bupropion.2) ECT (Electroconvulsive therapy):- Indications of ECT in depression are : - i) Suicidal risk ii) Depression with psychotic feature iii) Resistant depression iv) Severe agitated or stuporous depression with lack of self care.3) Psychotherapy: - Supportive psychotherapy, cognitive behavioral psychotherapy.Choice of Antidepressants* There is no ideal antidepressant. First choice is determined by side effect profile least objectionable to patient's physical status, severity of disorder including self harm, patient preference & nature of any associated illness.* Since SSRIs are comparatively free of side effects and are not costly, they are generally recommended as first choice antidepressants. Where there is a previous history of response to a specific drug or class, the best first choice is that antidepressant.",1,SSRIs,Alprazolam,ECT,Psychotherapy,Psychiatry,Mood Disorders,be4c6270-550e-4e45-90c1-2913d451a104,single
Drug of choice for generalized anxiety disorder -,"Ans. is 'a' i.e., Alprazolam Treatment of generalized anxietyo Benzodiazepines are the drug of choice. Drugs in this group are diazepam, Lorazepam, Alprazolam, Oxazepam, chlordiazepoxide.o Other drugs used are buspirone; TCA (amptriptyline, imipramine, clomipramine, desipramine); SSRIs (Fluoxetine, Sertaline, Paroxetine, Citalopram); SNRIs (Venalafaxine), b-blockers.o Anticonvulsants with GABAergic properties may also be effective against anxiety, e.g., Gabapentin, Oxcarbazepine, Tiagabine, pregabaiin, and Valproate (divalporex).",1,Alprazolam,Buspirone,Venlafaxine,Beta - blockers,Psychiatry,Generalized Anxiety Disorder,5e16eadb-4687-4edd-a518-4f4ff3514575,single
Reversible cause of dementia is,"Dementia Types:- The dementia can be divided in to reversible and irreversible dementias. It is extremely impoant to do detailed work up of a patient of dementia as around 15% of cases are reversible. The reversible causes of dementia are:- A. Neurosurgical conditions (subdural hematoma, normal pressure hydrocephalus, intracranial tumors, intracranial abscess). B. Infectious causes (meningitis, encephalitis, neurosyphilis, lyme disease). C. Metabolic causes (vitamin B12 or folate deficiency, niacin deficiency, hypo and hypehyroidism, hypo and hyperparathyroidism D. Others (drugs and toxins, alcohol abuse, autoimmune). Ref:- Psychiatry by Sandeep Govil; pg num:- 35",1,Hypothyroidism,Alzheimer's disease,Huntington chorea,Vitamin A deficiency,Psychiatry,Mood disorders,435fefef-669c-4da6-9084-6a7704bd3741,single
"A 23 year old man comes to psychiatry outpatient due to symptoms of sleep disturbances and 'feeling low'. The symptoms staed 2 months back after he found that his girlfriend was cheating on him and was in a relationship with her boss. The patient immediately broke up with her. However since than he has been feeling sad, and repos that nothing makes him feel better anymore. The patient has stopped going to office and doesn't even come out of his room unless its absolutely necessary. He has not slept for seven days and has lost a couple of kilograms in last two months. During interview he said, 'i am a loser, my girlfriend chose a 50 year old man over me, there must be something seriously wrong with me, '. What is the diagnosis?","This patient has symptoms of sadness of mood, loss of interest in work, sleep and appetite disturbances, negative thoughts and significant impairment in personal and professional life. Though, it was triggered by a breakup, symptoms are severe enough and hence, patient will get a diagnosis of major depression , and not adjustment disorder. If symptoms are sufficient enough, diagnosis of depression gets preference over adjustment disorder.",1,Major depression,Adjustment disorder,Normal stress response,Post traumatic stress disorder,Psychiatry,Mood Disorders,a23a3f1e-5f12-44b6-a833-2a9d30151f53,single
Absolute contraindication to ECT is,"CONTRA INDICATIONS * NO ABSOLUTE Contra indication RELATIVE CONTRAINDICATION -----------------Brain tumour with midline shift / arrythmia Ref.Kaplon and sadock, synopsis of psychiatry, 11 th edition, pg no. 1065",2,Glaucoma,Brain tumor,Aoic aneurysm,MI,Psychiatry,Treatment in psychiatry,bf768052-9281-46ea-86c2-854a9f0a0867,single
A 60 - year - old man whose wife died 3 months back now stas to believe that his intestines have rotten away and that he is responsible for the death of his wife and should be sent to prison.How will you treat him?,"The symptoms in this question are suggestive of nihilistic delusions (intestine are rotting away) and pathological guilt (belief that patient is responsible for death). Both these symptoms are usually seen in patients with severe depression. The death of wife could have acted as the stressor that resulted in the development of severe depressive episode with psychotic symptoms (or psychotic depression). Hence, this patient should be treated with antidepressants and antipsychotics.",1,Antipsychotic plus antidepressant,Antidepressant with cognitive behavioral therapy,Guidance and re counselling with guru plus antidepressant,Antidepressant alone,Psychiatry,Mood Disorders,3ccc943b-88f0-4526-9d7f-10d5ab718a6c,single
Role of marijuana in AIDS related cachexia-,"Ans. is 'c' i.e., Increases appetiteo Mari-juana or cannabis sativa contains the active principle tetrahydrocannabinol (THC), which as an appetite stimulant effect.",3,Euphoric,Pschostimulator,Increases appetite,Decrease emetic feeling,Psychiatry,Cannabis-Related Disorders,1078f617-3814-4756-a954-f27420880464,single
"A young male, victim of earthquake few months back, presented with complains of recurrent and intrusive recollection of the events and thoughts with anxiety causing disturbed routine life. The likely diagnosis is","Ans. a (Post-traumatic stress disorder). (Ref. Psychiatry by Niraj Ahuja, 5th ed., 115, 188)ACUTE STRESS DISORDER & POST TRAUMATIC STRESS DISORDERThese disorders are characterized by Severe Anxiety symptoms & follow a threatening event that caused feelings of Fear, Helplessness or Horror.# Acute Stress Disorder: Anxiety lasts < 1 month (but > 2 days)# Post Traumatic Stress Disorder (PTSD): Anxiety lasts > 1 month# May occur at any age# 50% of cases resolve within 3 months# symptoms begin immediately after trauma, but may occur after months / years# Re-experiencing of the Traumatic Event- Dreams, Flashbacks or Intrusive Recollections- Avoidance of Stimuli associated with the trauma or numbing of general responsiveness- Increased Arousal: Anxiety, Sleep disturbances & Hypervigilance# ""Survivor guilt"" - A feeling of irrational guilt about an event sometimes occurs.# Rx: Counseling after a stressful situation to prevent PTSD from developing. Group Psychotherapy with other survivors is helpful. Pharmacotherapy: ntidepressants (SSRI, TCAs) or Benzodiazepines",1,Post-traumatic stress disorder,Obsessive compulsive disorder,Paranoid schizophrenia,Delusional disorder,Psychiatry,Anxiety & Stress,2aa42d31-6c2e-4814-b8d0-d72b46d366f3,single
Which of the following is not a criterion to diagnose depression:,"Symptoms- Sadness of mood (depressed mood) (S) markedly diminished Interest or pleasure (I) excessive Guilt or feeling of wohlessness (G) loss of Energy or fatigue (E) poor Concentration or indecisiveness (C) Significant appetite changes/weight loss or gain (more than 5% in a month) (A) Psychomotor agitation or retardation (P) Sleep disturbances (insomnia or hypersomnia) (S) Suicidal thoughts (S) The mnemonic is SIGECAPSS. 5 out of 9, atleast one out of first 2.",1,Unexplained visceral pains,Feeling of guilt,Hypersomnia/Insomnia,Wohlessness,Psychiatry,Mood Disorders,5acfd314-7735-46e7-a0e8-adbbb1245179,single
Which of the following is not an indicator of a good prognosis for major depressive disorder?,"Ans. C. A history of more than one previous depressive episodeA history of more than one previous depressive episode is not an indicator of a good prognosis for major depressive disorder. Rather, it increases the possibility for a poor prognosis. Other indicators of a poor prognosis include coexisting dysthymic disorder, abuse of alcohol and other substances, and anxiety disorder symptoms. Men are more likely than women to experience a chronically impaired course.Mild episodes, the absence of psychotic symptoms, and a short hospital stay are good prognostic indicators. Psychosocial indicators of a good course include a history of solid friendships during adolescence, stable family functioning, and generally sound social functioning for the 5 years preceding the illness. Additional good prognostic signs are the absence of a comorbid psychiatric disorder and of a personality disorder, no more than one previous hospitalization for major depressive disorder, and an advanced age of onset.",3,Stable family functioning,No more than one previous hospitalization,A history of more than one previous depressive episode,Advanced age of onset,Psychiatry,Mood Disorders,635e6bc4-dfb7-4c94-9ce5-bd7a1008027c,single
Term psychiatry was coined by:,"Ref: Bhaiia's Essentials of Psychiatry, 4th edition, A Short Textbook of Psychiatry by Ah raj Ahuja, 7th edition, 2011Explanation:It was Johann Christian Reil a German physician coined the term ""Psychiatry .Important persons in the history of psychiatry and their contributions.Phillips Pincl* Moral treatment for persons with mental disordersBenjamin Rush* Father of American PsychiatryBenedict Morel* Coined the term ""dementia precox""Emil Kraepelin* Classified mental illnesses into two groups de menita precox (later renamed as schizophre nia) and MDP (Manic depressive psychosis}Pavlov* Conditioning (classical)Ble uter* Coined the term ""Schizophrenia''. Described 4 'A's of schizophreniaHans Berger* EEGCerletti and Bini* ECTBinswaitger* Existential therapyAnna Freud* Defense mechanismsRoger Sperry* Split brain studiesAaron Beck* Cognitive therapy",2,Pinel,Johann Christian Reil,Sigmund Freud,Benjamin Rush,Psychiatry,Symptoms & Signs ,e9064246-23a5-4e72-9f91-c8c6ddfb3ff2,single
